Gaspar_code,Family,Genus,Species,Sizec,Size,Mobility,Activity,Schooling,Position,Diet_Mouillot_2014,Diet_Parravicini_2020
10294,Apogonidae,Apogon,apogonides,10,2,1,3,3,2,IM,
10297,Pinguipedidae,Parapercis,somaliensis,15,3,2,1,1,1,IM,Crustacivores
103,Scombridae,Grammatorcynus,bicarinatus,112,6,3,2,3,3,FC,
10305,Diodontidae,Cyclichthys,spilostylus,34,4,2,2,1,1,IM,Macroinvertivores
10316,Synanceiidae,Minous,pictus,11,2,1,3,1,1,FC,
10317,Apistidae,Apistops,caloundra,19,3,1,3,1,1,IM,
10330,Antennariidae,Lophiocharon,trisignatus,14.7,2,1,3,1,1,FC,
10331,Ogcocephalidae,Halieutaea,stellata,30,4,2,NA,1,1,FC,
10332,Ogcocephalidae,Halieutaea,indica,15,3,2,NA,1,1,FC,
10339,Centrogenyidae,Centrogenys,vaigiensis,25,3,1,2,1,1,IM,
10342,Apogonidae,Apogon,ceramensis,10,2,1,3,5,2,PK,
10343,Apogonidae,Apogon,septemstriatus,5.3,1,1,3,NA,2,PK,
10350,Pempheridae,Pempheris,vanicolensis,20,3,1,3,4,2,PK,Microinvertivores
58164,Chaetodontidae,Chaetodon,andamanensis,15,3,1,1,2,1,IS,Corallivores
1037,Exocoetidae,Parexocoetus,brachypterus,20,3,3,NA,NA,NA,FC,
10385,Tetrarogidae,Snyderina,yamanokami,24,3,1,3,1,1,FC,
104,Scombridae,Grammatorcynus,bilineatus,100,6,3,2,3,3,FC,
10406,Ophichthidae,Ophichthus,urolophus,60,5,1,3,1,1,IM,Crustacivores
1043,Clupeidae,Sardinella,aurita,31,4,3,NA,NA,NA,PK,Planktivores
10447,Serranidae,Plectranthias,sagamiensis,6,1,1,NA,NA,NA,IM,Crustacivores
10470,Mullidae,Parupeneus,chrysopleuron,55,5,2,1,3,1,IM,Crustacivores
10472,Pomacanthidae,Chaetodontoplus,melanosoma,20,3,1,1,1,1,IS,sessile invertivores
10473,Cirrhitidae,Cirrhitichthys,aureus,14,2,1,1,1,1,IM,Crustacivores
1048,Gerreidae,Diapterus,rhombeus,40,4,2,NA,5,2,IM,Piscivores
1049,Gerreidae,Eucinostomus,argenteus,20,3,2,NA,5,2,IM,Microinvertivores
1050,Gerreidae,Eucinostomus,gula,23,3,2,NA,5,2,IM,Microinvertivores
10507,Pinguipedidae,Parapercis,mimaseana,20,3,2,1,1,1,IM,
1052,Gerreidae,Eucinostomus,melanopterus,30,4,2,NA,5,2,IM,Microinvertivores
10528,Tetrarogidae,Cottapistus,cottoides,9.2,2,1,3,1,1,IM,
10537,Synanceiidae,Inimicus,sinensis,26,3,2,2,1,1,FC,
1054,Gerreidae,Gerres,cinereus,41,4,2,NA,5,2,IM,Macroinvertivores
10541,Pseudochromidae,Pseudochromis,quinquedentatus,9.5,2,1,1,1,1,IM,Microinvertivores
10543,Apogonidae,Apogon,brevicaudata,11,2,1,3,NA,2,PK,
10547,Ephippidae,Platax,batavianus,65,5,3,1,4,2,OM,
10548,Labridae,Choerodon,zamboangae,45,4,2,1,1,1,IM,Macroinvertivores
1055,Synodontidae,Saurida,undosquamis,50,5,1,NA,NA,NA,FC,Piscivores
10553,Monacanthidae,Pseudomonacanthus,peroni,35,4,3,1,NA,1,IM,Corallivores
1056,Serranidae,Rypticus,saponaceus,35,4,1,2,1,1,IM,Crustacivores
10576,Labridae,Leptojulis,cyanopleura,13,2,1,1,3,2,PK,Microinvertivores
10584,Soleidae,Aseraggodes,cyaneus,8.3,2,1,2,1,1,IM,
1059,Hemiramphidae,Hemiramphus,brasiliensis,55,5,2,2,4,3,OM,Herbivores Microvores Detritivores
10598,Monacanthidae,Pseudomonacanthus,macrurus,18,3,3,1,NA,1,IM,Corallivores
106,Scombridae,Gymnosarda,unicolor,247.9802,6,3,2,1,3,FC,
1092,Mullidae,Mulloidichthys,martinicus,39.40000153,4,2,1,4,2,IM,Macroinvertivores
1093,Mullidae,Mullus,auratus,25,3,2,1,4,2,IM,Crustacivores
10934,Pomacanthidae,Apolemichthys,guezei,15,3,1,NA,NA,NA,IS,sessile invertivores
10938,Pomacanthidae,Apolemichthys,xanthopunctatus,25,3,1,1,3,1,IS,sessile invertivores
1094,Mullidae,Pseudupeneus,maculatus,30,4,2,1,3,2,IM,Crustacivores
10940,Pomacanthidae,Apolemichthys,xanthotis,20,3,1,1,3,1,IS,sessile invertivores
10943,Pomacanthidae,Apolemichthys,xanthurus,15,3,1,1,3,1,IS,sessile invertivores
1095,Mullidae,Upeneus,parvus,30,4,2,1,4,2,IM,Crustacivores
11764,Tetrarogidae,Tetraroge,barbata,10,2,1,3,1,1,IM,
1061,Holocentridae,Holocentrus,adscensionis,61,5,1,2,1,2,IM,Crustacivores
10613,Pinguipedidae,Parapercis,sexfasciata,12,2,2,1,1,1,IM,Crustacivores
10615,Labridae,Cirrhilabrus,filamentosus,8,2,1,1,4,2,PK,Microinvertivores
1062,Holocentridae,Holocentrus,rufus,35,4,1,2,1,2,IM,Crustacivores
10621,Apogonidae,Apogon,nigrocincta,9.1,2,1,3,5,2,PK,
1063,Holocentridae,Myripristis,jacobus,25,3,1,2,4,2,PK,Crustacivores
10632,Serranidae,Pseudanthias,fasciatus,21,3,1,1,3,2,PK,Crustacivores
10635,Scorpaenidae,Neomerinthe,procurva,7.1,2,1,3,1,1,IM,Crustacivores
10636,Scorpaenidae,Neomerinthe,megalepis,9.399999619,2,1,NA,NA,NA,IM,Crustacivores
1064,Kyphosidae,Kyphosus,incisor,90,6,3,1,4,3,HM,Herbivores Microvores Detritivores
1066,Labridae,Bodianus,pulchellus,28.5,3,2,1,1,2,IM,Macroinvertivores
10666,Pseudotrichonotidae,Metavelifer,multiradiatus,28,3,3,NA,NA,2,IM,
1067,Labridae,Bodianus,rufus,40,4,2,1,1,2,IM,Macroinvertivores
1068,Labridae,Halichoeres,radiatus,51,5,2,1,1,2,IM,Macroinvertivores
10684,Clinidae,Clinus,spatulatus,17.5,3,1,1,1,1,IM,
1070,Lutjanidae,Lutjanus,fulgens,60,5,2,1,3,2,IM,Crustacivores
10706,Synodontidae,Synodus,rubromarmoratus,20,3,2,2,1,1,FC,Piscivores
10707,Synodontidae,Synodus,oculeus,18.30999947,3,2,NA,NA,NA,FC,Piscivores
10708,Synodontidae,Synodus,macrocephalus,7.8,2,2,2,1,1,FC,Microinvertivores
1071,Labridae,Lachnolaimus,maximus,91,6,2,1,1,2,IM,Macroinvertivores
10715,Muraenidae,Gymnothorax,cribroris,75,5,1,3,1,1,FC,Crustacivores
10724,Tetrarogidae,Coccotropsis,gymnoderma,4,1,1,NA,NA,NA,IM,
10726,Synanceiidae,Minous,coccineus,10,2,1,3,1,1,FC,
10729,Congridae,Lumiconger,arafura,26.1,3,1,3,1,NA,PK,Crustacivores
10734,Synodontidae,Synodus,sageneus,26,3,2,2,1,1,FC,Piscivores
10742,Pomacentridae,Teixeirichthys,jordani,14,2,1,1,5,2,PK,Planktivores
10743,Serranidae,Giganthias,immaculatus,42,4,1,NA,NA,NA,PK,Crustacivores
10744,Carapidae,Onuxodon,margaritiferae,10,2,1,3,1,1,OM,
10745,Batrachoididae,Batrachomoeus,occidentalis,20,3,1,NA,NA,NA,IM,
10746,Apogonidae,Gymnapogon,japonicus,5,1,1,3,5,2,PK,Microinvertivores
10747,Batrachoididae,Batrachomoeus,trispinosus,30,4,1,3,1,1,IM,
10748,Batrachoididae,Halophryne,diemensis,26,3,1,3,1,1,IM,
10752,Synanceiidae,Erosa,erosa,15,2,2,2,1,1,IM,
10753,Pinguipedidae,Parapercis,multiplicata,15,3,2,1,1,1,IM,Crustacivores
10757,Tetrarogidae,Liocranium,praepositum,13,2,1,3,1,1,IM,
10759,Synanceiidae,Minous,versicolor,11,2,1,3,1,1,FC,
1077,Lobotidae,Lobotes,surinamensis,110,6,1,NA,NA,NA,IM,
10771,Serranidae,Serranocirrhitus,latus,13,2,1,1,3,2,PK,Crustacivores
10776,Platycephalidae,Cymbacephalus,nematophthalmus,58,5,2,2,1,1,FC,
10786,Pomacanthidae,Centropyge,aurantia,10,2,1,1,2,1,HD,sessile invertivores
1079,Megalopidae,Megalops,atlanticus,250,6,3,1,4,3,FC,
10793,Glaucosomatidae,Glaucosoma,buergeri,45,4,2,2,5,3,IM,
10794,Glaucosomatidae,Glaucosoma,magnificum,32,4,3,2,5,2,IM,
10797,Monacanthidae,Thamnaconus,arenaceus,23,3,3,1,NA,NA,IM,Corallivores
10801,Apogonidae,Apogon,albimaculosus,10,2,1,3,3,2,PK,
1081,Monacanthidae,Aluterus,schoepfii,61,5,3,1,4,3,OM,Herbivores Microvores Detritivores
10817,Ephippidae,Zabidius,novemaculeatus,45,4,3,1,4,2,OM,
10819,Pomacanthidae,Chaetodontoplus,conspicillatus,10,3,1,1,1,1,IS,sessile invertivores
1082,Monacanthidae,Cantherhines,pullus,20,3,2,1,1,2,IS,sessile invertivores
10823,Pomacanthidae,Chaetodontoplus,duboulayi,28,3,1,1,2,1,IS,sessile invertivores
10828,Pomacanthidae,Chaetodontoplus,personifer,35,4,1,1,2,1,IS,Crustacivores
10842,Pomacentridae,Chromis,fumea,10,2,1,1,5,2,PK,Planktivores
10848,Labridae,Choerodon,cephalotes,38,4,2,1,1,1,IM,Macroinvertivores
10851,Pomacanthidae,Chaetodontoplus,meredithi,25,3,1,1,2,1,IS,sessile invertivores
10853,Labridae,Choerodon,vitta,20,3,2,1,1,1,IM,Microinvertivores
1086,Mugilidae,Mugil,curema,90,6,3,2,5,3,HD,Herbivores Microvores Detritivores
10867,Pinguipedidae,Parapercis,macrophthalma,14,2,2,1,1,1,IM,Crustacivores
10870,Pomacanthidae,Centropyge,eibli,15,3,1,1,2,1,HD,sessile invertivores
10882,Pomacanthidae,Chaetodontoplus,ballinae,20.3,3,1,1,NA,1,IM,sessile invertivores
10896,Pomacanthidae,Genicanthus,semicinctus,20,3,1,1,3,2,PK,sessile invertivores
10958,Pomacanthidae,Centropyge,aurantonotus,7.5,2,1,1,1,2,HD,sessile invertivores
1097,Muraenidae,Channomuraena,vittata,150,6,1,3,1,1,FC,Piscivores
10974,Pomacanthidae,Centropyge,flavipectoralis,10,2,1,1,2,1,HD,sessile invertivores
1098,Muraenidae,Enchelycore,nigricans,100,6,1,2,1,1,IM,Crustacivores
10982,Pomacanthidae,Centropyge,hotumatua,8,2,1,1,2,1,HD,sessile invertivores
10986,Chaetodontidae,Prognathodes,guyanensis,13.60000038,2,1,1,1,2,IM,Microinvertivores
1099,Muraenidae,Gymnothorax,ocellatus,90,6,1,2,1,1,IM,Crustacivores
10990,Pomacanthidae,Centropyge,interruptus,15,3,1,1,2,1,HD,
10994,Mullidae,Parupeneus,forsskali,28,3,2,1,3,1,IM,Macroinvertivores
10997,Pomacanthidae,Centropyge,joculator,9,2,1,1,2,1,HD,sessile invertivores
10999,Monacanthidae,Eubalichthys,caeruleoguttatus,38,4,2,1,1,1,IM,Corallivores
11000,Pomacanthidae,Centropyge,multicolor,9,2,1,1,2,1,HD,sessile invertivores
1102,Gobiidae,Istigobius,hoshinonis,8.9,2,1,1,3,1,OM,Microinvertivores
1103,Muraenidae,Gymnothorax,miliaris,70,5,1,2,1,1,IM,Crustacivores
1104,Ophichthidae,Ophichthus,gomesii,91.40000153,6,1,1,1,1,FC,Crustacivores
1105,Ophichthidae,Ophichthus,ophis,210,6,1,1,1,1,FC,Piscivores
1107,Ostraciidae,Lactophrys,trigonus,55,5,2,1,1,2,IM,Crustacivores
1109,Ostraciidae,Lactophrys,triqueter,47,4,2,1,1,2,IS,
111,Scombridae,Rastrelliger,kanagurta,35,4,3,2,5,3,PK,
11100,Pomacanthidae,Centropyge,nigriocella,6,1,1,1,2,1,HD,sessile invertivores
11106,Pomacanthidae,Centropyge,resplendens,6,1,1,1,1,2,HD,sessile invertivores
1111,Polynemidae,Polydactylus,oligodon,46,4,2,1,3,2,IM,
11111,Pomacanthidae,Centropyge,shepardi,9,2,1,1,2,1,HD,sessile invertivores
11113,Antennariidae,Antennarius,biocellatus,14,2,1,3,1,1,FC,
11116,Pomacanthidae,Chaetodontoplus,caeruleopunctatus,14,2,1,1,NA,1,IS,sessile invertivores
11119,Pomacanthidae,Chaetodontoplus,chrysocephalus,22,3,1,1,1,1,IS,sessile invertivores
1112,Polynemidae,Polydactylus,virginicus,33,4,2,1,3,2,IM,
11124,Pomacanthidae,Chaetodontoplus,septentrionalis,22,3,1,1,1,1,IS,sessile invertivores
11132,Pomacanthidae,Genicanthus,caudovittatus,20,3,1,1,3,2,PK,sessile invertivores
11144,Antennariidae,Antennarius,analis,7.8,2,1,3,1,1,FC,
11150,Antennariidae,Antennatus,tuberosus,9,2,1,3,1,1,FC,
11153,Pomacanthidae,Genicanthus,semifasciatus,21,3,1,1,3,2,PK,sessile invertivores
11158,Pomacanthidae,Genicanthus,spinus,35,4,1,1,3,2,PK,sessile invertivores
11163,Pomacanthidae,Holacanthus,africanus,45,4,2,1,1,2,OM,sessile invertivores
1117,Pomacanthidae,Pomacanthus,arcuatus,60,5,2,1,2,2,IS,sessile invertivores
11170,Gobiidae,Eviota,smaragdus,2.3,1,1,1,1,1,IM,
11172,Pomacanthidae,Holacanthus,clarionensis,20,3,2,1,3,1,IM,sessile invertivores
11174,Gobiidae,Gladiogobius,ensifer,7.5,2,1,1,1,1,IM,Microinvertivores
11177,Pomacanthidae,Holacanthus,limbaughi,25,3,2,1,1,1,IM,sessile invertivores
1118,Pomacanthidae,Pomacanthus,paru,41.09999847,4,2,1,2,2,IS,sessile invertivores
11189,Pomacanthidae,Centropyge,venustus,12,2,1,1,2,1,HD,
1119,Pomacentridae,Abudefduf,saxatilis,22.89999962,3,2,1,3,2,OM,Planktivores
11194,Pomacanthidae,Pomacanthus,asfur,40,4,1,1,1,1,IS,sessile invertivores
1120,Pomacentridae,Abudefduf,taurus,25,3,2,1,3,2,OM,Herbivores Microvores Detritivores
11209,Pomacanthidae,Pomacanthus,chrysurus,33,4,1,1,1,1,IS,sessile invertivores
1121,Pomacentridae,Chromis,multilineata,20,3,2,1,5,3,PK,Planktivores
11214,Tetraodontidae,Feroxodon,multistriatus,39,4,3,NA,1,1,IM,Macroinvertivores
1122,Pomacentridae,Microspathodon,chrysurus,21,3,1,1,1,2,HD,Herbivores Microvores Detritivores
11223,Diodontidae,Tragulichthys,jaculiferus,30,3,3,NA,1,1,IM,Macroinvertivores
11227,Diodontidae,Cyclichthys,hardenbergi,25,3,2,2,1,1,IM,Macroinvertivores
1123,Haemulidae,Anisotremus,surinamensis,76,5,2,1,3,2,IM,Macroinvertivores
11238,Bothidae,Grammatobothus,pennatus,18,3,2,NA,NA,NA,IM,Crustacivores
1124,Haemulidae,Anisotremus,virginicus,40.59999847,4,2,1,3,2,IM,Macroinvertivores
11250,Chaetodontidae,Coradion,altivelis,18,3,1,1,1,1,IM,Microinvertivores
11258,Platycephalidae,Onigocia,oligolepis,10,2,3,2,3,1,IM,
1126,Haemulidae,Haemulon,album,79,5,2,2,4,2,IM,Microinvertivores
11269,Antennariidae,Tathicarpus,butleri,10,2,1,3,1,1,FC,
1128,Haemulidae,Haemulon,aurolineatum,25,3,2,2,5,2,IM,Microinvertivores
1129,Haemulidae,Haemulon,bonariense,40,4,2,2,4,2,IM,Macroinvertivores
1130,Haemulidae,Haemulon,boschmae,19,3,2,2,4,2,IM,Microinvertivores
1131,Haemulidae,Haemulon,carbonarium,36,4,2,2,4,2,IM,Macroinvertivores
1134,Haemulidae,Haemulon,chrysargyreum,23,3,2,2,4,2,IM,Crustacivores
1135,Haemulidae,Haemulon,flavolineatum,30,4,2,2,4,2,IM,Microinvertivores
1136,Haemulidae,Haemulon,macrostomum,43,4,2,2,4,2,IM,Macroinvertivores
1138,Haemulidae,Haemulon,melanurum,33,4,2,2,4,2,IM,Microinvertivores
1139,Haemulidae,Haemulon,parra,41.20000076,4,2,2,4,2,IM,Macroinvertivores
1140,Haemulidae,Haemulon,plumierii,53,5,2,2,4,2,IM,Macroinvertivores
1141,Haemulidae,Haemulon,sciurus,46,4,2,2,4,2,IM,Macroinvertivores
1142,Haemulidae,Haemulon,steindachneri,30,4,3,3,4,1,IM,Microinvertivores
1143,Haemulidae,Haemulon,striatum,28,3,2,2,4,2,IM,Microinvertivores
1145,Haemulidae,Orthopristis,ruber,40,4,2,2,4,2,IM,Macroinvertivores
1146,Haemulidae,Pomadasys,corvinaeformis,25,3,3,NA,NA,NA,IM,
1147,Haemulidae,Pomadasys,crocro,38,4,2,2,4,2,IM,Microinvertivores
1149,Priacanthidae,Priacanthus,arenatus,50,5,2,2,4,2,FC,Piscivores
1150,Priacanthidae,Heteropriacanthus,cruentatus,50.7,5,2,3,3,2,IM,Piscivores
1151,Scaridae,Nicholsina,usta usta,30,4,2,1,3,2,HD,
11512,Albulidae,Albula,glossodonta,90,6,3,2,4,1,IM,
1152,Scaridae,Scarus,coelestinus,77,5,2,1,3,2,HD,Herbivores Microvores Detritivores
1153,Scaridae,Scarus,coeruleus,120,6,2,1,3,2,HD,Macroinvertivores
1154,Scaridae,Scarus,iseri,35,4,2,1,3,2,HD,Herbivores Microvores Detritivores
1155,Scaridae,Scarus,guacamaia,120,6,2,1,3,2,HD,Herbivores Microvores Detritivores
1156,Scaridae,Scarus,taeniopterus,35,4,2,1,3,2,HD,Herbivores Microvores Detritivores
1157,Scaridae,Scarus,vetula,61,5,2,1,3,2,HD,Herbivores Microvores Detritivores
1158,Scaridae,Sparisoma,aurofrenatum,28,3,2,1,3,2,HD,Herbivores Microvores Detritivores
1159,Scaridae,Sparisoma,chrysopterum,46,4,2,1,3,2,HD,Herbivores Microvores Detritivores
116,Scombridae,Scomber,australasicus,44,4,3,NA,NA,NA,FC,
1160,Scaridae,Sparisoma,rubripinne,47.79999924,4,2,1,3,2,HD,Herbivores Microvores Detritivores
1161,Scaridae,Sparisoma,viride,64,5,2,1,3,2,HD,Herbivores Microvores Detritivores
11614,Gobiidae,Amblyeleotris,gymnocephala,14,2,1,1,1,1,IM,Microinvertivores
11616,Blenniidae,Salarias,guttatus,10,2,1,1,1,1,OM,Herbivores Microvores Detritivores
11618,Gobiidae,Pleurosicya,elongata,4,1,1,1,1,1,OM,Microinvertivores
11619,Apogonidae,Apogon,multilineatus,10,2,1,3,3,2,PK,
1162,Sciaenidae,Bairdiella,batabana,NA,NA,3,NA,NA,NA,IM,
11620,Labridae,Pseudocoris,heteroptera,20,3,1,1,4,2,PK,Microinvertivores
11622,Labridae,Halichoeres,solorensis,18,3,2,1,3,1,IM,Microinvertivores
1164,Sparidae,Sparus,aurata,70,5,2,1,3,2,IM,Macroinvertivores
11661,Synanceiidae,Minous,trachycephalus,12,2,1,3,1,1,FC,
11663,Neosebastidae,Neosebastes,entaxis,19,3,1,3,1,1,FC,
11666,Apogonidae,Apogon,melanopus,10,2,1,3,NA,2,PK,
11667,Apogonidae,Siphamia,roseigaster,6.400000095,1,1,NA,NA,NA,PK,Microinvertivores
11668,Chaetodontidae,Roa,modestus,17,3,1,1,3,2,IM,
11673,Labridae,Xyrichtys,jacksonensis,17.5,3,2,1,3,1,IM,
11682,Monacanthidae,Pseudomonacanthus,elongatus,25,3,3,1,NA,1,IM,Corallivores
11692,Scorpaenidae,Scorpaenodes,smithi,6,1,1,3,1,1,IM,Crustacivores
11728,Ophichthidae,Lamnostoma,orientalis,36,4,1,3,1,1,IM,Crustacivores
11793,Pomacentridae,Abudefduf,concolor,19,3,2,1,3,2,OM,Herbivores Microvores Detritivores
1220,Sparidae,Calamus,arctifrons,25,3,2,1,4,2,IM,Crustacivores
1221,Sparidae,Calamus,bajonado,76,5,2,1,4,2,IM,Macroinvertivores
1222,Sparidae,Calamus,calamus,56,5,2,1,4,2,IM,Macroinvertivores
12227,Kyphosidae,Atypichthys,latus,30,3,2,1,4,2,PK,Crustacivores
12229,Kyphosidae,Girella,simplicidens,46,4,3,1,4,1,OM,
12230,Kyphosidae,Kyphosus,elegans,53,5,3,1,5,1,HM,Herbivores Microvores Detritivores
12234,Kyphosidae,Neatypus,obliquus,22,3,3,NA,NA,NA,HM,
12235,Kyphosidae,Scorpis,violacea,34.5,4,3,1,3,3,PK,Crustacivores
1224,Sparidae,Calamus,cervigoni,20,3,2,1,4,2,IM,Crustacivores
1225,Sparidae,Calamus,leucosteus,46,4,2,1,4,2,IM,Crustacivores
6665,Chaetodontidae,Chaetodon,argentatus,20,3,1,1,2,1,IM,Corallivores
1226,Sparidae,Calamus,nodosus,54.40000153,5,2,1,4,2,IM,Macroinvertivores
12263,Chaetodontidae,Prognathodes,dichrous,16,3,1,1,1,2,IM,Microinvertivores
1227,Sparidae,Calamus,penna,46,4,2,1,4,2,IM,Macroinvertivores
6516,Chaetodontidae,Chaetodon,assarius,13,2,1,1,4,2,OM,Corallivores
1228,Sparidae,Calamus,pennatula,37,4,2,1,4,2,IM,Herbivores Microvores Detritivores
12596,Holocentridae,Myripristis,chryseres,25,3,2,3,3,2,PK,Crustacivores
12598,Serranidae,Luzonichthys,earlei,4.2,1,1,1,5,2,PK,Crustacivores
126,Scombridae,Scomberomorus,maculatus,91,6,3,1,3,3,FC,
1260,Acanthuridae,Acanthurus,triostegus,27,3,3,1,5,1,HD,Herbivores Microvores Detritivores
12601,Monacanthidae,Cantherhines,verecundus,12.5,2,2,1,1,1,IS,sessile invertivores
12603,Mullidae,Parupeneus,chrysonemus,19.6,3,2,1,3,1,IM,Crustacivores
12604,Mullidae,Parupeneus,porphyreus,51,4,2,1,3,1,IM,Crustacivores
12605,Scorpaenidae,Scorpaenopsis,brevifrons,13.3,2,1,3,1,1,IM,Crustacivores
12606,Gobiidae,Valenciennea,alleni,7.4,2,1,1,2,1,IM,Microinvertivores
12607,Gobiidae,Valenciennea,bella,6.9,1,1,1,2,1,IM,Microinvertivores
12609,Gobiidae,Valenciennea,decora,11.3,2,1,1,2,1,IM,Microinvertivores
1261,Acanthuridae,Acanthurus,xanthopterus,70,5,2,1,4,1,HD,Herbivores Microvores Detritivores
12610,Gobiidae,Valenciennea,limicola,6.2,1,1,1,2,1,IM,Microinvertivores
12611,Gobiidae,Valenciennea,parva,10,2,1,1,2,1,IM,Microinvertivores
