family,species,p4_m,p4_sd,p7_m,p7_sd,p2_m,p2_sd,p3_m,p3_sd,p8_m,p8_sd,p6_m,p6_sd,p1_m,p1_sd,p5_m,p5_sd,nentropy_m,nentropy_sd,sd_tot,trophic_guild_predicted,trophic_guild_predicted_text
Acanthuridae,Naso_lopezi,0.079965688,0.14188412,0.031695785,0.083877803,0.651138902,0.347621258,0.002019415,0.022670849,0.216167013,0.276466162,0.00686539,0.046214474,0.003763345,0.034855687,0.008384462,0.040567572,0.843276492,0.129171834,0.479532125,2,Herbivores Microvores Detritivores
Acanthuridae,Naso_tonganus,0.079965688,0.14188412,0.031695785,0.083877803,0.651138902,0.347621258,0.002019415,0.022670849,0.216167013,0.276466162,0.00686539,0.046214474,0.003763345,0.034855687,0.008384462,0.040567572,0.843276492,0.129171834,0.479532125,2,Herbivores Microvores Detritivores
Acanthuridae,Naso_tuberosus,0.079965688,0.14188412,0.031695785,0.083877803,0.651138902,0.347621258,0.002019415,0.022670849,0.216167013,0.276466162,0.00686539,0.046214474,0.003763345,0.034855687,0.008384462,0.040567572,0.843276492,0.129171834,0.479532125,2,Herbivores Microvores Detritivores
Acanthuridae,Naso_brachycentron,0.152719626,0.218246908,0.035104296,0.087303331,0.657339576,0.348250263,0.001650721,0.018147791,0.127091277,0.209181511,0.017722126,0.085419924,0.003151892,0.032439436,0.005220486,0.027828281,0.839764119,0.130017353,0.479313437,2,Herbivores Microvores Detritivores
Acanthuridae,Naso_fageni,0.129135705,0.196065575,0.034560439,0.087136812,0.661225277,0.345015388,0.00175817,0.019388544,0.149989667,0.227725097,0.013874056,0.073187039,0.003298212,0.032926188,0.006158474,0.032583454,0.838980199,0.130933194,0.474138108,2,Herbivores Microvores Detritivores
Acanthuridae,Naso_mcdadei,0.117004113,0.183797237,0.034102588,0.086742484,0.661335347,0.344357818,0.001818285,0.020114933,0.163646329,0.238344106,0.012021666,0.066566911,0.003384928,0.033219848,0.006686745,0.035092188,0.839269728,0.130955859,0.473145524,2,Herbivores Microvores Detritivores
Acanthuridae,Prionurus_microlepidotus,0.041277821,0.105725355,0.010281215,0.039091153,0.938426288,0.144753472,1.57E-04,0.003223903,0.007103329,0.02633802,0.001522825,0.013981466,8.01E-05,8.20E-04,0.00115153,0.005462408,0.953837225,0.078451373,0.185982831,2,Herbivores Microvores Detritivores
Acanthuridae,Prionurus_maculatus,0.016045157,0.051246854,0.006913887,0.025927218,0.963729273,0.096340201,1.48E-04,0.002455967,0.011147605,0.039844397,3.61E-04,0.00368294,6.73E-05,5.62E-04,0.00158738,0.007351755,0.96668873,0.066749278,0.119337467,2,Herbivores Microvores Detritivores
Acanthuridae,Prionurus_scalprum,0.020186364,0.061792125,0.007623412,0.029015204,0.960125486,0.103960003,1.48E-04,0.002490823,0.009902191,0.035617573,5.00E-04,0.005259305,6.54E-05,5.70E-04,0.001449415,0.006433756,0.964519288,0.068967204,0.129661192,2,Herbivores Microvores Detritivores
Acanthuridae,Prionurus_chrysurus,0.006803591,0.022786708,0.005184598,0.018912721,0.966071974,0.089353166,1.73E-04,0.002769147,0.019087367,0.061210519,1.24E-04,0.001223132,1.23E-04,0.00115066,0.002432837,0.01246409,0.968505817,0.06406683,0.113019833,2,Herbivores Microvores Detritivores
Acanthuridae,Prionurus_biafraensis,0.003137368,0.010364763,0.004715736,0.017784827,0.949292909,0.120784737,2.20E-04,0.003111488,0.038131553,0.10086704,5.75E-05,6.81E-04,4.30E-04,0.004971717,0.00401443,0.017651091,0.960468751,0.069213782,0.159791316,2,Herbivores Microvores Detritivores
Acanthuridae,Prionurus_laticlavius,0.029945306,0.083638449,0.00902796,0.034750431,0.950363041,0.123695414,1.53E-04,0.002812332,0.008253878,0.030346814,9.03E-04,0.00922511,7.09E-05,6.71E-04,0.001283029,0.005901325,0.959279317,0.074302163,0.156693188,2,Herbivores Microvores Detritivores
Acanthuridae,Prionurus_punctatus,0.029945306,0.083638449,0.00902796,0.034750431,0.950363041,0.123695414,1.53E-04,0.002812332,0.008253878,0.030346814,9.03E-04,0.00922511,7.09E-05,6.71E-04,0.001283029,0.005901325,0.959279317,0.074302163,0.156693188,2,Herbivores Microvores Detritivores
Acanthuridae,Acanthurus_tristis,0.001695698,0.012371215,0.002465002,0.028868555,0.970560313,0.13542404,3.14E-04,0.009318572,0.022424518,0.11389872,6.36E-05,7.66E-04,6.37E-04,0.013773089,0.001840415,0.025523308,0.986928974,0.044581248,0.182284365,2,Herbivores Microvores Detritivores
Acanthuridae,Paracanthurus_hepatus,0.001498221,0.011707796,0.001062504,0.006562922,0.993347646,0.02818881,4.31E-05,7.48E-04,0.003349944,0.015772954,4.84E-05,5.61E-04,6.17E-05,6.51E-04,5.88E-04,0.004373635,0.99288426,0.02699005,0.035269892,2,Herbivores Microvores Detritivores
Acanthuridae,Zebrasoma_desjardinii,0.003409375,0.026457737,0.00162078,0.010575336,0.989701948,0.049805229,6.64E-05,0.001023412,0.003989149,0.023479679,2.80E-04,0.003388378,1.87E-04,0.002705995,7.46E-04,0.006839381,0.990269378,0.037918051,0.062532661,2,Herbivores Microvores Detritivores
Acanthuridae,Zebrasoma_xanthurum,0.003763911,0.02977029,0.00210656,0.014584432,0.986593177,0.06337655,8.33E-05,0.001033925,0.004709036,0.029258079,9.71E-04,0.019313674,6.54E-04,0.016428763,0.001118407,0.012367882,0.988767079,0.041970705,0.082271222,2,Herbivores Microvores Detritivores
Acanthuridae,Zebrasoma_gemmatum,8.14E-04,0.007500495,9.84E-04,0.006169629,0.991726548,0.035289652,8.67E-05,0.00141324,0.005097606,0.02557211,2.25E-05,2.55E-04,2.03E-04,0.002064803,0.001065395,0.010075899,0.991667683,0.029717228,0.04584172,2,Herbivores Microvores Detritivores
Acanthuridae,Zebrasoma_rostratum,0.001239245,0.010585665,0.002149612,0.015722453,0.983820291,0.063485853,4.85E-04,0.00904305,0.008947421,0.042909251,1.08E-04,0.002017689,0.001172754,0.016464318,0.002077636,0.020716481,0.986233223,0.043788167,0.083767555,2,Herbivores Microvores Detritivores
Acanthuridae,Acanthurus_polyzona,2.19E-04,0.001516846,0.001237897,0.009714179,0.953644292,0.142090556,1.37E-04,0.002152928,0.039583955,0.131311075,1.39E-05,2.14E-04,0.002310032,0.025409441,0.002853814,0.027312682,0.976030639,0.054464636,0.197294941,2,Herbivores Microvores Detritivores
Acanthuridae,Acanthurus_albipectoralis,0.002750489,0.013398673,0.002202344,0.016242486,0.980023827,0.092714791,7.11E-05,0.001174422,0.013735335,0.07543471,1.69E-04,0.003609548,2.38E-04,0.004008158,8.10E-04,0.005695024,0.986157584,0.048587015,0.121625151,2,Herbivores Microvores Detritivores
Acanthuridae,Acanthurus_guttatus,4.67E-04,0.003279624,4.24E-04,0.002984242,0.995300128,0.021666401,4.08E-05,8.44E-04,0.003370491,0.016881685,4.12E-05,6.37E-04,5.23E-05,0.001101778,3.04E-04,0.003546887,0.995035026,0.019662022,0.028089101,2,Herbivores Microvores Detritivores
Acanthuridae,Acanthurus_leucosternon,0.001843589,0.009618658,6.21E-04,0.005135401,0.996044198,0.019349269,2.31E-05,4.05E-04,9.77E-04,0.004828484,3.45E-04,0.008584239,5.27E-06,5.40E-05,1.41E-04,0.002230722,0.995669597,0.019502091,0.024401471,2,Herbivores Microvores Detritivores
Acanthuridae,Acanthurus_achilles,3.09E-04,0.00216377,2.99E-04,0.00216175,0.995814577,0.019101666,3.31E-05,7.90E-04,0.003256215,0.016955467,2.88E-05,5.14E-04,2.19E-05,3.91E-04,2.37E-04,0.002166442,0.995573171,0.016885265,0.025835071,2,Herbivores Microvores Detritivores
Acanthuridae,Acanthurus_japonicus,2.48E-04,0.001929925,2.87E-04,0.00204964,0.994744952,0.024064261,3.91E-05,9.21E-04,0.004329615,0.021872966,2.08E-05,3.59E-04,4.19E-05,9.86E-04,2.88E-04,0.00276117,0.994651147,0.019434624,0.03278738,2,Herbivores Microvores Detritivores
Acanthuridae,Acanthurus_nigricans,2.54E-04,0.001952028,2.88E-04,0.002059197,0.994881928,0.0234653,3.83E-05,9.06E-04,0.004195258,0.021289115,2.15E-05,3.72E-04,3.90E-05,8.93E-04,2.82E-04,0.002688159,0.994762708,0.019173021,0.031951215,2,Herbivores Microvores Detritivores
Acanthuridae,Ctenochaetus_hawaiiensis,0.001307246,0.012271691,0.001146856,0.009662821,0.986323109,0.059450165,2.43E-04,0.008160756,0.00950824,0.044167468,8.23E-05,0.001220518,1.68E-04,0.001688974,0.001221597,0.013330283,0.988134452,0.038667951,0.077315513,2,Herbivores Microvores Detritivores
Acanthuridae,Acanthurus_nubilus,4.91E-04,0.003366767,4.10E-04,0.00289091,0.995340761,0.020515128,7.94E-05,0.002686103,0.003270257,0.016115795,2.70E-05,5.30E-04,2.08E-05,2.17E-04,3.61E-04,0.003473469,0.994941417,0.019781126,0.026830762,2,Herbivores Microvores Detritivores
Acanthuridae,Acanthurus_pyroferus,6.28E-04,0.0044882,4.28E-04,0.002888163,0.995637996,0.020127789,7.08E-05,0.002407849,0.002843376,0.015110111,4.09E-05,7.32E-04,1.79E-05,1.93E-04,3.33E-04,0.003454275,0.995305336,0.019326572,0.026081252,2,Herbivores Microvores Detritivores
Acanthuridae,Ctenochaetus_cyanocheilus,1.87E-04,0.001059031,3.76E-04,0.002603671,0.987111487,0.054702478,1.36E-04,0.00418898,0.011297568,0.052247171,8.46E-06,1.68E-04,1.46E-04,0.002273057,7.37E-04,0.006426344,0.989011411,0.031664771,0.076118782,2,Herbivores Microvores Detritivores
Acanthuridae,Acanthurus_reversus,0.004043602,0.029996375,0.001748863,0.011910077,0.970466506,0.130881347,2.54E-04,0.004878958,0.021017261,0.106730801,8.61E-04,0.015646929,2.84E-04,0.008161731,0.001324324,0.015810643,0.985382136,0.050919906,0.173632497,2,Herbivores Microvores Detritivores
Acanthuridae,Ctenochaetus_tominiensis,1.87E-04,0.001058677,3.79E-04,0.002625471,0.987007683,0.055172224,1.38E-04,0.004201125,0.011356675,0.052672829,8.46E-06,1.68E-04,1.80E-04,0.002976803,7.44E-04,0.006520135,0.989004375,0.031827023,0.07678194,2,Herbivores Microvores Detritivores
Acanthuridae,Ctenochaetus_binotatus,3.44E-04,0.002173553,3.81E-04,0.002496701,0.993792753,0.026701771,1.01E-04,0.003184111,0.004889158,0.023518407,1.75E-05,3.54E-04,3.65E-05,3.85E-04,4.39E-04,0.003850621,0.99365039,0.022086916,0.036087354,2,Herbivores Microvores Detritivores
Acanthuridae,Acanthurus_randalli,6.81E-04,0.006613739,0.001584856,0.020201106,0.9688349,0.127148702,2.21E-04,0.00500225,0.026107986,0.113637856,9.38E-05,0.002788057,9.33E-04,0.014167161,0.001543445,0.016336544,0.984417694,0.04538004,0.173299071,2,Herbivores Microvores Detritivores
Acanthuridae,Ctenochaetus_strigosus,1.68E-04,9.59E-04,3.83E-04,0.002693239,0.984437527,0.065089729,1.54E-04,0.004475057,0.013786215,0.062464425,7.42E-06,1.45E-04,2.18E-04,0.003721683,8.47E-04,0.007531399,0.98775252,0.03432973,0.090759411,2,Herbivores Microvores Detritivores
Acanthuridae,Ctenochaetus_flavicauda,1.87E-04,0.001059672,3.80E-04,0.002636266,0.986772287,0.057125241,1.43E-04,0.004242347,0.011608684,0.054653595,8.48E-06,1.68E-04,1.54E-04,0.002432532,7.47E-04,0.006539147,0.989033342,0.031828144,0.079530402,2,Herbivores Microvores Detritivores
Acanthuridae,Ctenochaetus_truncatus,1.87E-04,0.001059672,3.80E-04,0.002636266,0.986772287,0.057125241,1.43E-04,0.004242347,0.011608684,0.054653595,8.48E-06,1.68E-04,1.54E-04,0.002432532,7.47E-04,0.006539147,0.989033342,0.031828144,0.079530402,2,Herbivores Microvores Detritivores
Acanthuridae,Acanthurus_monroviae,0.001024277,0.005589132,3.80E-04,0.002843395,0.997174648,0.013387393,1.86E-05,3.16E-04,0.001095349,0.006205006,1.21E-04,0.002311455,5.38E-06,5.45E-05,1.81E-04,0.002511167,0.996777045,0.01523006,0.016395107,2,Herbivores Microvores Detritivores
Acanthuridae,Acanthurus_fowleri,0.002779078,0.019266899,9.24E-04,0.005719591,0.991075715,0.042689937,6.30E-05,8.60E-04,0.004399104,0.026054472,3.42E-04,0.005134037,6.25E-05,0.001260577,3.55E-04,0.003030978,0.991538093,0.031419816,0.054250037,2,Herbivores Microvores Detritivores
Acanthuridae,Acanthurus_tennentii,0.001464249,0.012808998,0.001041746,0.007518036,0.988453531,0.051041389,6.93E-05,9.89E-04,0.007815623,0.041105165,2.62E-04,0.006399889,1.35E-04,0.001828276,7.59E-04,0.007441389,0.989820883,0.035463521,0.067941909,2,Herbivores Microvores Detritivores
Acanthuridae,Acanthurus_leucocheilus,9.32E-04,0.00488764,4.29E-04,0.003747353,0.997049534,0.014715015,2.19E-05,5.10E-04,0.001242103,0.006871092,1.04E-04,0.001741358,1.27E-05,1.49E-04,2.08E-04,0.003080766,0.996651535,0.016429718,0.017733611,2,Herbivores Microvores Detritivores
Acanthuridae,Acanthurus_auranticavus,9.34E-04,0.004887836,4.30E-04,0.003747599,0.997025393,0.01476108,2.20E-05,5.10E-04,0.001251037,0.006883671,1.04E-04,0.001741346,1.43E-05,1.65E-04,2.20E-04,0.00320946,0.996623945,0.01648364,0.017799727,2,Herbivores Microvores Detritivores
Acanthuridae,Acanthurus_leucopareius,7.04E-04,0.004913189,8.96E-04,0.007866365,0.985936769,0.072688938,2.83E-04,0.01059633,0.011199412,0.063250751,6.94E-05,0.00103166,2.16E-04,0.005403697,6.96E-04,0.007378147,0.990208514,0.033896061,0.09781279,2,Herbivores Microvores Detritivores
Acanthuridae,Acanthurus_nigricauda,7.39E-04,0.003853005,3.98E-04,0.003202992,0.997123706,0.013517515,2.24E-05,5.57E-04,0.001401825,0.007102006,6.52E-05,9.99E-04,1.28E-05,1.46E-04,2.36E-04,0.003155359,0.996712807,0.015448589,0.01641804,2,Herbivores Microvores Detritivores
Acanthuridae,Acanthurus_bariene,0.003148006,0.022673169,0.001596762,0.011524583,0.990203371,0.041388742,1.49E-04,0.002593077,0.004056758,0.021789365,3.38E-04,0.005156712,1.36E-04,0.002150179,3.72E-04,0.003782629,0.990498073,0.032859978,0.053730255,2,Herbivores Microvores Detritivores
Acanthuridae,Ctenochaetus_marginatus,0.003513859,0.027044974,0.003004219,0.028511125,0.957886941,0.165097207,5.25E-04,0.011890051,0.03064913,0.132939567,0.001025707,0.017007677,5.20E-04,0.011319493,0.002875085,0.028147856,0.982345789,0.057344349,0.218690188,2,Herbivores Microvores Detritivores
Acanthuridae,Acanthurus_chronixis,9.05E-04,0.006230308,6.33E-04,0.005052832,0.99318085,0.035585695,5.05E-05,8.71E-04,0.004731003,0.030860543,4.40E-05,7.07E-04,5.08E-05,8.00E-04,4.05E-04,0.002669104,0.993471701,0.023338286,0.047875723,2,Herbivores Microvores Detritivores
Acanthuridae,Acanthurus_xanthopterus,0.004219921,0.022424867,0.001030688,0.008383811,0.992251464,0.036831698,4.40E-05,9.33E-04,0.001399224,0.008648041,7.37E-04,0.008770828,7.76E-05,0.001739398,2.40E-04,0.003786243,0.992168106,0.031577165,0.045822312,2,Herbivores Microvores Detritivores
Acanthuridae,Acanthurus_maculiceps,0.004705002,0.034702523,0.001668966,0.013809323,0.980141604,0.102730761,1.23E-04,0.00186927,0.011888395,0.074008641,4.15E-04,0.006685978,1.30E-04,0.002087595,9.27E-04,0.008550692,0.987755594,0.047601168,0.132482148,2,Herbivores Microvores Detritivores
Acanthuridae,Acanthurus_grammoptilus,0.002028547,0.016849204,0.001094773,0.010453033,0.990342065,0.052787784,1.26E-04,0.002082512,0.005494584,0.036467178,1.26E-04,0.001467738,4.63E-05,8.96E-04,7.42E-04,0.008453112,0.991657392,0.033683096,0.067737113,2,Herbivores Microvores Detritivores
Acanthuridae,Acanthurus_mata,0.002611411,0.016295406,9.44E-04,0.007067762,0.993109182,0.034258899,5.10E-05,8.87E-04,0.002513274,0.015367559,2.74E-04,0.00295721,1.16E-04,0.002455578,3.81E-04,0.005171016,0.992921186,0.031134272,0.042043172,2,Herbivores Microvores Detritivores
Acanthuridae,Acanthurus_sohal,0.002776868,0.017236663,0.00112135,0.006025757,0.99075179,0.040173678,4.99E-05,6.98E-04,0.004125856,0.022785159,3.50E-04,0.004457479,0.000175116,0.00498894,6.49E-04,0.007409472,0.990742091,0.035310887,0.050662076,2,Herbivores Microvores Detritivores
Acanthuridae,Acanthurus_bahianus,0.00365262,0.020575207,0.002681769,0.020442449,0.977745752,0.087413723,5.56E-04,0.016696963,0.011951046,0.058478376,6.50E-04,0.008463034,0.001126974,0.016844955,0.001636026,0.021818713,0.983108802,0.053804805,0.114071612,2,Herbivores Microvores Detritivores
Acanthuridae,Acanthurus_blochii,0.006853917,0.041341639,0.003045334,0.020698189,0.974593075,0.10224881,3.02E-04,0.004900293,0.011678631,0.063425534,0.001269902,0.014905644,8.90E-04,0.018673298,0.001366574,0.013380781,0.982107392,0.057952768,0.131867707,2,Herbivores Microvores Detritivores
Acanthuridae,Acanthurus_chirurgus,0.005481904,0.033467174,0.002555777,0.017058292,0.973578538,0.101907987,4.85E-04,0.012240218,0.013429864,0.067178716,5.97E-04,0.006814961,0.00198583,0.032461463,0.001886058,0.015809151,0.981591647,0.056691065,0.133451104,2,Herbivores Microvores Detritivores
Acanthuridae,Acanthurus_coeruleus,0.006133823,0.033851006,0.004193354,0.026665379,0.972948432,0.098889672,8.06E-04,0.011759148,0.012595635,0.060877655,0.001120193,0.013615946,7.92E-04,0.011664463,0.001410391,0.011382754,0.979464598,0.060363913,0.126219996,2,Herbivores Microvores Detritivores
Acanthuridae,Acanthurus_dussumieri,0.006350403,0.038109203,0.003363927,0.02378231,0.979342979,0.078051438,5.06E-04,0.0082967,0.008268421,0.043377601,0.001118899,0.015565563,3.83E-04,0.005407236,6.66E-04,0.006921378,0.983163814,0.051591327,0.101881394,2,Herbivores Microvores Detritivores
Acanthuridae,Acanthurus_gahhm,0.004145295,0.022470668,0.003131774,0.02286173,0.973126757,0.100200255,2.58E-04,0.004380549,0.015041331,0.074457155,0.001491361,0.019726103,0.001264133,0.021133456,0.001541166,0.016284915,0.980898717,0.056010089,0.133160349,2,Herbivores Microvores Detritivores
Acanthuridae,Acanthurus_lineatus,0.005233534,0.028442208,0.003166082,0.022363205,0.969371203,0.106968277,1.85E-04,0.003128214,0.017353139,0.073672169,9.19E-04,0.010810306,0.001802378,0.026246084,0.001969796,0.02453576,0.978060709,0.061566169,0.139987077,2,Herbivores Microvores Detritivores
Acanthuridae,Acanthurus_nigrofuscus,0.001494852,0.012688667,0.002257613,0.020079546,0.969608344,0.104618072,8.15E-04,0.019595445,0.021600379,0.084172562,4.56E-04,0.008813239,0.00129348,0.018449523,0.002474352,0.02005772,0.980197342,0.054841648,0.140707155,2,Herbivores Microvores Detritivores
Acanthuridae,Acanthurus_nigroris,0.002626157,0.018745371,0.00238661,0.017659409,0.974096353,0.097496475,3.84E-04,0.006770584,0.016286564,0.069867254,8.42E-04,0.013420761,0.001124135,0.017866403,0.002254941,0.023089932,0.981241133,0.055717037,0.12699823,2,Herbivores Microvores Detritivores
Acanthuridae,Acanthurus_olivaceus,0.004130605,0.029201864,0.003067456,0.021798738,0.972284858,0.101977421,2.80E-04,0.004461256,0.016694931,0.073273888,0.001337195,0.021843382,6.20E-04,0.009545104,0.001584994,0.01571572,0.980375674,0.057882233,0.133908625,2,Herbivores Microvores Detritivores
Acanthuridae,Acanthurus_thompsoni,0.044779663,0.092164464,0.045266131,0.108970835,0.270469747,0.309668172,0.00546204,0.039634151,0.583057078,0.333124494,0.008308303,0.053626638,0.012821065,0.074531517,0.029835973,0.084107434,0.824664419,0.128250226,0.494278187,8,planktivore
Acanthuridae,Acanthurus_triostegus,0.003354386,0.020797416,0.004290501,0.027195604,0.965683375,0.113988122,5.05E-04,0.012187031,0.019312111,0.080133464,0.001489217,0.020723346,0.002220248,0.025994238,0.003145455,0.030843009,0.976059143,0.063146954,0.150969433,2,Herbivores Microvores Detritivores
Acanthuridae,Ctenochaetus_striatus,0.003167138,0.024953503,0.003344393,0.027632817,0.965914399,0.118385798,5.67E-04,0.011861807,0.021675934,0.090104343,5.12E-04,0.006270144,0.001985517,0.023903475,0.002833372,0.025629434,0.977554949,0.059594976,0.157887621,2,Herbivores Microvores Detritivores
Acanthuridae,Naso_hexacanthus,0.191847171,0.236886192,0.058472823,0.123411526,0.180293832,0.262277465,0.005380845,0.042040877,0.521487593,0.342870293,0.022251183,0.092622565,0.009057024,0.056808251,0.011209529,0.040362255,0.799647925,0.12520897,0.522396059,8,planktivore
Acanthuridae,Naso_lituratus,0.016365386,0.057414387,0.009222898,0.041302178,0.896615244,0.203367947,8.56E-04,0.011770096,0.064724838,0.154977543,0.002422745,0.027159401,0.004477403,0.044269149,0.005315374,0.038128173,0.939133537,0.095452394,0.273255423,2,Herbivores Microvores Detritivores
Acanthuridae,Naso_unicornis,0.033688697,0.092760429,0.011722026,0.05084273,0.889243538,0.206676157,0.001473868,0.02105956,0.051384477,0.130369422,0.005374844,0.040011605,0.00427497,0.036207314,0.002837579,0.017855768,0.929769979,0.105975772,0.273084112,2,Herbivores Microvores Detritivores
Acanthuridae,Zebrasoma_flavescens,0.001586429,0.012617802,0.003746049,0.027333182,0.970897264,0.104714363,0.001030498,0.02004276,0.01641804,0.073036045,2.36E-04,0.004486508,0.002433251,0.031031479,0.003652458,0.032383506,0.980941796,0.055715344,0.140139782,2,Herbivores Microvores Detritivores
Acanthuridae,Zebrasoma_scopas,0.007678408,0.045225334,0.004175964,0.028162619,0.976320639,0.094259254,6.57E-04,0.011960165,0.006443932,0.036338922,0.001164675,0.014931836,0.001245144,0.015250972,0.002314109,0.021326044,0.981656736,0.060949095,0.11873157,2,Herbivores Microvores Detritivores
Acanthuridae,Zebrasoma_velifer,0.007508265,0.045560028,0.004960749,0.030517319,0.968959169,0.111933374,5.05E-04,0.012933641,0.012437346,0.062599734,0.001723876,0.02210721,0.001894702,0.024678904,0.002010942,0.018096625,0.978321649,0.063106871,0.145077131,2,Herbivores Microvores Detritivores
Apogonidae,Pseudamia_hayashii,0.030513296,0.019824708,0.212898879,0.105708582,5.17E-05,3.72E-04,4.32E-04,0.001778925,0.180637284,0.147012751,1.44E-04,7.48E-04,8.41E-06,8.77E-05,0.575314103,0.157601251,0.726607453,0.062397474,0.240877761,5,microinvertivore
Apogonidae,Pseudamia_gelatinosa,0.040007965,0.024511622,0.240261229,0.112987262,5.54E-05,4.16E-04,4.40E-04,0.001817264,0.169896323,0.142876266,1.90E-04,9.68E-04,8.13E-06,8.63E-05,0.549140605,0.155365351,0.716132796,0.063653823,0.240672768,5,microinvertivore
Apogonidae,Pseudamia_nigra,0.006556461,0.006006347,0.100698596,0.070510341,3.85E-05,2.57E-04,3.85E-04,0.001696088,0.24130471,0.175198245,2.94E-05,1.72E-04,1.16E-05,1.30E-04,0.650975226,0.179397127,0.779987298,0.064570371,0.26055427,5,microinvertivore
Apogonidae,Pseudamia_amblyuroptera,0.018949372,0.013684289,0.170371474,0.093524903,4.60E-05,3.10E-04,4.18E-04,0.00172885,0.199048525,0.15413221,8.80E-05,4.74E-04,9.00E-06,9.19E-05,0.611070061,0.162394925,0.743438391,0.062279746,0.243035667,5,microinvertivore
Apogonidae,Pseudamia_tarri,0.001424758,0.001786869,0.045522271,0.045003666,4.06E-05,4.86E-04,3.48E-04,0.001800119,0.313830685,0.2289401,6.16E-06,3.97E-05,1.80E-05,2.71E-04,0.638809288,0.228391531,0.827187098,0.060289438,0.326509319,5,microinvertivore
Apogonidae,Pseudamia_zonata,0.1911048,0.08424678,0.40855389,0.14818287,7.11E-05,6.60E-04,4.28E-04,0.002023841,0.093227773,0.102550078,9.58E-04,0.004226113,5.93E-06,7.15E-05,0.305650977,0.135897547,0.652713217,0.062958389,0.240962115,7,crustacivore
Apogonidae,Pseudamia_rubra,0.005000973,0.004858946,0.087673781,0.065281185,3.77E-05,2.65E-04,3.78E-04,0.001701941,0.25288816,0.182060217,2.22E-05,1.32E-04,1.27E-05,1.51E-04,0.653986345,0.185416143,0.789211694,0.064478598,0.26798007,5,microinvertivore
Apogonidae,Lachneratus_phasmaticus,0.01610095,0.019621798,0.307016884,0.21114751,1.12E-04,0.001800992,0.001122376,0.00818056,0.229567513,0.241127764,1.39E-04,8.86E-04,1.02E-04,0.002761886,0.445839297,0.252298615,0.763441524,0.077311734,0.408465486,5,microinvertivore
